new entry "Summon_LX_IceElemental"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Water"
data "Tier" "None"
data "ActionPoints" "2"
data "Cooldown" "6"
data "Lifetime" "6"
data "SummonLevel" "-1"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "Template" "1e6a93d3-825b-4426-806b-77403a671452"
data "TargetRadius" "10"
data "SummonCount" "1"
data "Icon" "Portrait_Summons_ElementalIce_A"
data "DisplayName" "Summon_LX_IceElemental_DisplayName"
data "Description" "Summon_LX_IceElemental_Description"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" ""RS3_FX_Skills_Water_Prepare_Water_Root_01_WaterFrost,KeepRot,Detach;RS3_FX_Skills_Water_Prepare_Water_Hand_01_WaterFrost:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Water_Cast_Ground_Fire_Root_02:Dummy_Root;RS3_FX_Skills_Water_Cast_Ground_Fire_Root_02_Texkey:Dummy_Root:cast"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"
