new entry "LX_BLOODLUST"
type "StatusData"
data "StatusType" "CONSUME"
data "ForGameMaster" "Yes"
data "DisplayName" "LX_BLOODLUST_DisplayName"
data "DisplayNameRef" "Blood Lust"
data "Description" "LX_BLOODLUST_Description"
data "DescriptionRef" "Attacking a character with Bleeding will recover 1 AP. Can happen only once per turn."
data "Icon" "Skill_Source_Bleed"
data "FormatColor" "Red"
data "StatusEffect" "RS3_FX_GP_Status_VampiricHunger_01,KeepRot:Dummy_OverheadFX"
data "StackId" "Stack_LX_BloodLust"
