new entry "Jump_LX_StoryJump"
type "SkillData"
data "SkillType" "Jump"
data "ForGameMaster" "Yes"
data "Ability" "None"
data "Tier" "None"
data "ActionPoints" "1"
data "Cooldown" "0"
data "TargetRadius" "80"
data "HitRadius" "2"
data "DeathType" "None"
data "Damage On Jump" "No"
data "Damage On Landing" "No"
data "Icon" "Skill_Warrior_PhoenixDive"
data "DisplayName" "Jump_LX_StoryJump_DisplayName"
data "DisplayNameRef" "Story Jump"
data "Description" "Jump_LX_StoryJump_Description"
data "DescriptionRef" "A very long jump. Not sneaky."
data "StatsDescription" "Jump_LX_StoryJump_StatsDescription"
data "StatsDescriptionRef" "Range: [1]"
data "StatsDescriptionParams" "TargetRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Fire_Root_01,KeepRot;RS3_FX_Skills_Fire_Prepare_Fire_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_teleport_air_01_cast"
data "CastTextEvent" "cast"
data "TeleportTextEvent" "teleport"
data "CastEffect" "RS3_FX_Skills_Warrior_PhoenixDive_Cast_01:root:teleport_start"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Fire_01"
data "LandingEffect" "RS3_FX_Skills_Warrior_PhoenixDive_Land_01:root:teleport_end"
data "Memory Cost" "0"
data "Magic Cost" "0"

