new entry "MultiStrike_LX_SliceDice"
type "SkillData"
data "SkillType" "MultiStrike"
data "ForGameMaster" "Yes"
data "Ability" "Rogue"
data "Tier" "None"
data "Requirement" "DaggerWeapon"
data "ActionPoints" "1"
data "Cooldown" "6"
data "Damage Multiplier" "55"
data "SkillProperties" "AlwaysBackstab"
data "TargetRadius" "8"
data "AreaRadius" "10"
data "DeathType" "Physical"
data "MaxAttacks" "2"
data "NextAttackChance" "100"
data "NextAttackChanceDivider" "1"
data "EndPosRadius" "0"
data "JumpDelay" "300"
data "TargetConditions" "Character;NonSelf;Enemy;!Tagged:BLOCK_FORK"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "skills_lx_slice_and_dice"
data "DisplayName" "MultiStrike_LX_SliceDice_DisplayName"
data "DisplayNameRef" "Slice and Dice"
data "Description" "MultiStrike_LX_SliceDice_Description"
data "DescriptionRef" "Jump from one target to the other, hitting maximum [1] targets, dealing [2] damage.  Additional targets after first one are chosen randomly in a [3] radius."
data "StatsDescriptionParams" "MaxAttacks;Damage;AreaRadius"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Warrior_BlinkStrike_Prepare_01"
data "CastAnimation" "skill_attack_flurry_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Warrior_BlinkStrike_Cast_01:root:cast"
data "MaleImpactEffects" "RS3_FX_Skills_Warrior_BlinkStrike_Impact_01"
data "FemaleImpactEffects" "RS3_FX_Skills_Warrior_BlinkStrike_Impact_01"
data "ReappearEffect" "RS3_FX_Skills_Warrior_BlinkStrike_Reappear_01"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "Stealth" "Yes"
data "OverrideMinAP" "Yes"
data "CycleConditions" "Enemy"

