new entry "Teleportation_LX_TossDwarf"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "Yes"
data "Ability" "None"
data "ActionPoints" "2"
data "Cooldown" "5"
data "Damage Multiplier" "100"
data "Damage Range" "10"
data "DamageType" "Physical"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetRadius" "2"
data "AreaRadius" "13"
data "HitRadius" "2"
data "Height" "5"
data "Acceleration" "20000"
data "TeleportDelay" "500"
data "TargetConditions" "NonSelf;!Grounded;Tagged:DWARF"
data "TeleportSelf" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "Yes"
data "Icon" "Skill_Air_RadialBlowback"
data "DisplayName" "Teleportation_LX_TossDwarf_DisplayName"
data "DisplayNameRef" "Toss Dwarf"
data "Description" "Teleportation_LX_TossDwarf_Description"
data "DescriptionRef" "Toss a nearby dwarf, dealing [1]. It became a national sport in some countries the rumors says."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "PreviewEffect" "RS3_FX_UI_Targeter_03_Owner"
data "ForceMove" "Yes"
data "CycleConditions" "Character;!Dead"

